ym,Nivel General,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad, gas y otros combustibles",Equipamiento y mantenimiento del hogar,Salud,Transporte,Información y comunicación,Recreación y cultura,Educación,Restaurantes y hoteles,Seguros y servicios financieros,"Cuidado personal, protección social y otros productos",Bienes,Servicios,Estacionales ,Regulados,Resto IPCBA
2007-04,2.1733784087346,1.79473603255207,,1.81213679673165,2.5308287078236,2.55723082303401,2.95838987394362,2.53313381121326,,2.40451304722392,2.08592475303122,,,2.68942401799246,,,,,
2007-05,2.21866050686297,1.84329174702103,,1.84944589451567,2.5776151385808,2.60521497927886,2.97507018376052,2.57538423823624,,2.39555212903551,2.29902255924755,,,2.73933564197765,,,,,
2007-06,2.27757592485794,1.94052486947893,,1.86152047525305,2.6083435147137,2.63732467781865,3.00494536552213,2.61658365961187,,2.40451304722392,2.34349640459658,,,2.77280351387469,,,,,
2007-07,2.33567983571799,2.02473678529979,,1.87942884218938,2.63471044391161,2.64868934640296,3.0415424631801,2.67039514875556,,2.46345597575215,2.3756566445558,,,2.8169114606523,,,,,
2007-08,2.41325991781605,2.11771063455866,,1.91212517879283,2.66266335381316,2.80003786929556,3.09581571004703,2.74291453842186,,2.54729034369262,2.41752290288111,,,2.8399327135757,,,,,
2007-09,2.4616257430571,2.18026110382444,,1.98606502712844,2.67059325733133,2.84874359179974,3.10726786305565,2.78285275302069,,2.56700436370713,2.42925704448785,,,2.87359404137966,,,,,
2007-10,2.4968451527125,2.22394907749451,,2.0198467193038,2.71341473632944,2.86858666393107,3.11722625697619,2.8236317721374,,2.57716007098733,2.42998137421666,,,2.88674904305017,,,,,
2007-11,2.48678246423953,2.151419739591,,2.07058709229007,2.74989229251302,2.88049250720987,3.13291072740103,2.87912487031682,,2.59926366918541,2.48358177414871,,,2.90996375188049,,,,,
2007-12,2.51112767828704,2.15908643134926,,2.10423311501893,2.79291201909908,2.91621003704626,3.21183099922129,2.90792242505388,,2.6106141655574,2.48589962928091,,,2.99566471864575,,,,,
2008-01,2.56192802493284,2.22601786733404,,2.08591773974314,2.8313720511622,2.94344916333563,3.23349050599846,2.94113420350975,,2.77071590385703,2.48503043360633,,,3.02758494328744,,,,,
