ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
2016-07,18.9426783948099,18.4016320286999,20.9990163455063,18.1552295984172,23.1007353177918,19.0237732671772,16.6248411285384,18.3497378404588,19.1182303494796,19.8663563313156,22.9236850943998,19.5266128960207,21.1083740584572,19.8317689226521,18.2968422341693,21.5732458237849,17.8098202586423,22.2615160996371
2016-08,18.9809344697392,18.4199287928058,21.6041947577124,18.3012553885373,21.806076549928,19.1658062744327,17.1387951960111,18.371291280058,19.7289443129657,19.98129173509,23.3156311537902,19.7129156405694,21.3214954905553,18.9753535388124,18.5990275462448,21.1922919249634,17.9513401752902,22.1126266323163
2016-09,19.1990527036074,18.8354742228428,22.4846269461516,19.1805679872535,20.6398171950791,19.2377120000751,17.3276047629024,18.5144234068471,19.9119300146923,20.2647921489126,23.3608144533952,20.0905057456853,21.8664386076268,19.7546534982148,18.8870693683009,20.9051085351823,18.355214642276,22.0037447978584
2016-10,19.6520224148944,19.0530432497213,22.947977702622,19.8563898258258,22.8504576940732,19.3232591998065,17.9171413905441,18.5427228663382,19.7415655172708,20.3691468566717,23.595691352608,20.5025310584045,22.3256678413393,20.1401708718802,19.2270104385437,21.7892945109622,18.6030402438695,22.8631812760239
2016-11,19.970075297746,19.2928353019251,23.8305772436299,20.1064439060975,23.1911140025304,19.823992242033,18.200419980551,18.6419776771167,20.5684937669212,20.5714248687296,23.7160371664294,21.1025351656,22.7253511496331,20.2260892450781,19.5574827306582,22.1996749581513,18.8323210725547,23.3650778652715
2016-12,20.2092313414406,19.3411882726066,24.3522760535245,20.1137451956035,23.5422466107294,20.2095912429485,18.3541913960673,18.7911417604109,21.7606970777181,20.7464627751636,23.8308542220714,21.7668821765092,23.0351742432042,19.9161736666514,19.8923910259715,22.4116895412112,18.942566811397,23.8566683737816
2017-01,20.5297295412845,19.593087908669,24.5775346070196,19.9139352508304,23.8902951846225,20.3868899869229,18.7855332480663,19.1811519076482,22.4247465097418,21.408399416468,24.0203571748453,22.4416990577453,23.480789688939,20.2541312176008,20.191552694611,22.819201292139,19.1680401841531,24.4376975320251
2017-02,20.9541233994548,19.9524665279623,25.6282135573489,19.8828997419936,25.1905334649331,20.4779341954724,19.2875387369401,19.5419794117316,23.3386522656118,21.5340192485716,24.7795128669436,22.83097797859,23.9093821409081,20.3811167408993,20.5310362398603,23.7410613180376,19.4540540004383,25.1789480750668
2017-03,21.451614047387,20.504425358886,26.1275813301025,20.5673101497644,26.095709304869,20.6498976073586,19.6650844539572,19.7716071640438,24.0876336983297,21.889883324554,27.4867217374251,23.0634700471173,24.3397252661196,20.8695210677266,20.9279292256105,24.6541359616361,19.8862286622404,25.9138050309844
2017-04,22.0213324881336,20.9564676111934,26.747030176076,21.4976915475322,27.6411400836303,20.8794785638785,20.0156128012393,19.8936932120612,25.7360717840581,22.4659503564319,28.2820526662325,23.5037705397838,24.7729938584601,21.5466510562191,21.3697989074704,25.6535180216578,20.36172497434,26.7410350068453
2017-05,22.3372836109257,21.2294878248495,27.2059244660286,21.8688706013719,28.1378579448701,21.4540372429155,20.3227885484439,20.0797443066311,25.8202203996577,22.6304075668507,28.7614579606179,23.8465118665351,25.0930445693951,21.7193043657353,21.7238635753416,25.9204412440936,20.6492541959702,27.1329284982214
2017-06,22.6035604430805,21.4200372117112,27.3858877860642,22.0629883562547,28.6358235451803,21.7233704654103,20.6219985765826,20.2178591985701,26.1356634644963,23.1570980173238,29.044020399129,24.1498116027825,25.4245898322776,21.9231065708661,22.0139742060644,26.1516402334008,20.8598387112125,27.535128070335
2017-07,22.9951143003209,21.6643551019708,28.1984745334182,21.7937256493211,29.2130794320753,22.2504366050264,21.3064263737419,20.6525546809137,26.3800796140732,23.9847781497389,29.2849741661684,24.7657055339669,25.761341044539,22.0250972962131,22.4024726028016,26.7509960468014,21.1059026540926,28.287686674186
2017-08,23.3177950971497,22.1160105305127,28.571453993454,21.6578573005248,29.843281831598,22.4632233912234,21.841946616105,20.8768457489659,26.7769729680737,24.1488204309021,29.8644690482865,24.9432797587628,26.1684416789391,22.2612831997259,22.7232771928775,27.1483777140566,21.3788082141444,28.7449474369062
2017-09,23.7603772635272,22.5140715263512,28.769364940941,22.4807709577125,30.4320263348391,22.6929256052908,22.3733371654039,21.0450076765798,27.0584258240769,24.7994917429196,30.9751298401604,25.2961862194906,26.6042671756205,23.1453820649622,23.0946283485503,27.6147649734092,21.7821144041258,29.3021676401126
2017-10,24.1202834644869,22.8544377575725,29.6355023433367,22.957426491358,30.7023619526701,22.8565020368112,22.6145846571138,21.3151303393857,28.4921946331336,25.109858826036,31.2244482370317,25.6487879438679,26.9696511094663,23.7050663773424,23.3983254823438,28.0775439507457,22.1271153734618,29.7191106332812
2017-11,24.4519573692627,23.1260267232965,29.9646720587522,23.2644426980237,31.0826869466664,23.0634886703215,22.9101605553561,21.9573739824731,28.6987254090982,25.2842328456613,31.3335697185145,26.1179948560647,27.3005513874699,24.1107986672795,23.6989591879193,28.4958357243428,22.4662630896531,30.0515771637382
2017-12,25.2202315079389,23.2790542049093,30.1281001833474,23.4589627278103,36.6300642267856,23.733335572069,23.4555186443074,22.6668711219209,29.1890809570475,25.4672581402638,31.3308053394248,26.5851992151013,27.6001929340255,24.1908218530721,24.0949172312913,31.08452033649,22.7470108723648,32.0130247240938
2018-01,25.663440160488,23.7655237723419,30.8197535278196,23.2807348316321,37.0121784315244,23.9794479742256,23.867239865704,23.1586353017909,29.7365148134317,26.3482566820111,31.530102773284,27.3617980373948,28.2685124443436,24.8354884784879,24.4560635903678,31.7470771143968,23.1207477155536,32.6958979996249
2018-02,26.2842475380657,24.2841383946836,31.3509740776511,23.1380479232145,38.4151550760442,24.3980896568233,24.4267306820303,24.1967143460612,32.4480282334978,26.6077326919401,32.1317126881201,27.9361607573863,28.7641142181861,24.6663603317107,24.9673975016904,33.2762715151727,23.5336767294753,33.8495587688443
