ym,Nivel general,Alimentos y bebidas no alcohólicas,Bebidas alcohólicas y tabaco,Prendas de vestir y calzado,"Vivienda, agua, electricidad y otros combustibles",Equipamiento y manteni-miento del hogar,Salud,Transporte,Comunicaciones,Recreación y cultura,Educación,Restaurantes y hoteles,Otros bienes y servicios,Estacional,Núcleo,Regulados,Bienes,Servicios
1982-02,2.12667422863515e-07,1.9524842926053e-07,,3.58563499391832e-07,2.26527708728978e-07,2.08282193147198e-07,2.49568662778502e-07,3.1210621552778e-07,6.81082491988912e-07,,,,2.92355577711219e-07,,,,,
1982-03,2.22698036923283e-07,2.03155100059035e-07,,3.80822904533662e-07,2.36180329690669e-07,2.20969180786151e-07,2.67300388785918e-07,3.19108598568468e-07,6.81082491988912e-07,,,,3.10888076563481e-07,,,,,
1982-04,2.32023133786186e-07,2.09280597765569e-07,,4.62838374148807e-07,2.45022130491579e-07,2.33059133712682e-07,2.69254024331086e-07,3.2493985134451e-07,6.81082491988912e-07,,,,3.36108860507366e-07,,,,,
1982-05,2.3912431774593e-07,2.15130954913182e-07,,4.79783719110613e-07,2.51180502665138e-07,2.45431019697857e-07,2.79816901261741e-07,3.33601335593444e-07,6.81082491988912e-07,,,,3.48511933669192e-07,,,,,
1982-06,2.58004571427235e-07,2.37402859103844e-07,,4.95454774131292e-07,2.61682554271459e-07,2.63507904046168e-07,2.91191033630642e-07,3.42506805314179e-07,6.81082491988912e-07,,,,3.85360598702288e-07,,,,,
1982-07,2.99952169979934e-07,2.87681175976391e-07,,5.46019683497325e-07,2.87512967964945e-07,3.129788636893e-07,3.17118095187703e-07,3.86448588785531e-07,7.45779139615332e-07,,,,4.18008804365174e-07,,,,,
1982-08,3.44016320123225e-07,3.2609948665118e-07,,6.39395312374864e-07,3.29907279228695e-07,3.68867946490961e-07,3.54584851448003e-07,4.46591007584466e-07,8.40586641247009e-07,,,,4.98124003683707e-07,,,,,
1982-09,4.02727620766636e-07,3.93233783028233e-07,,7.46435667429606e-07,3.70042877187408e-07,4.27194921035008e-07,3.94899279858886e-07,5.40452218586293e-07,8.79298092583719e-07,,,,5.36216581577511e-07,,,,,
1982-10,4.53831605548204e-07,4.40586921326974e-07,,1.00153766862263e-06,4.24869764249817e-07,4.80977798045627e-07,4.16091258653929e-07,6.11817969088072e-07,9.74472089829483e-07,,,,5.83737658401015e-07,,,,,
1982-11,5.05319023588939e-07,4.85072805380105e-07,,1.12121247288089e-06,4.80835660585704e-07,5.39089176721301e-07,4.70279810682192e-07,7.11510432865943e-07,1.09129154964596e-06,,,,6.35134695587588e-07,,,,,
1982-12,5.58984342541733e-07,5.24693045864924e-07,,1.23806757173752e-06,5.35836294825423e-07,6.05161018229258e-07,5.29700132475482e-07,8.48459478187819e-07,1.23757900950414e-06,,,,7.16692112715641e-07,,,,,
1983-01,6.48308954596912e-07,6.10956851628103e-07,,1.34722270584349e-06,6.38231297987044e-07,6.86258233333151e-07,6.0910382802316e-07,9.94484783060689e-07,1.43070686227434e-06,,,,8.20802210839969e-07,,,,,
1983-02,7.32817644916975e-07,6.99001830483259e-07,,1.47953195930528e-06,7.12363426972836e-07,7.92397737763603e-07,6.78308883775723e-07,1.11842940273557e-06,1.58398371585908e-06,,,,9.14906922910795e-07,,,,,
1983-03,8.15332482289372e-07,7.68076591854815e-07,,1.66145718281523e-06,8.17190890616808e-07,8.856014900916e-07,7.48672875868641e-07,1.2538413395851e-06,1.77010840393173e-06,,,,1.01802549629109e-06,,,,,
